NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
AL011,0,non-coastal,,,,
AL012,1,coastal (on coast),,,CATEGORY CODE,CATEGORY LABEL
AL013,0,non-coastal,,,0,non-coastal
AL014,1,coastal (on coast),,,1,coastal (on coast)
AL015,1,coastal (on coast),,,2,coastal (>= 50% of population living within 50km of the coastline)
AL021,2,coastal (>= 50% of population living within 50km of the coastline),,,,
AL022,1,coastal (on coast),,,,
AL031,2,coastal (>= 50% of population living within 50km of the coastline),,,,
AL032,1,coastal (on coast),,,,
AL033,2,coastal (>= 50% of population living within 50km of the coastline),,,,
AL034,0,non-coastal,,,,
AL035,1,coastal (on coast),,,,
AT111,0,non-coastal,,,,
AT112,0,non-coastal,,,,
AT113,0,non-coastal,,,,
AT121,0,non-coastal,,,,
AT122,0,non-coastal,,,,
AT123,0,non-coastal,,,,
AT124,0,non-coastal,,,,
AT125,0,non-coastal,,,,
AT126,0,non-coastal,,,,
AT127,0,non-coastal,,,,
AT130,0,non-coastal,,,,
AT211,0,non-coastal,,,,
AT212,0,non-coastal,,,,
AT213,0,non-coastal,,,,
AT221,0,non-coastal,,,,
AT222,0,non-coastal,,,,
AT223,0,non-coastal,,,,
AT224,0,non-coastal,,,,
AT225,0,non-coastal,,,,
AT226,0,non-coastal,,,,
AT311,0,non-coastal,,,,
AT312,0,non-coastal,,,,
AT313,0,non-coastal,,,,
AT314,0,non-coastal,,,,
AT315,0,non-coastal,,,,
AT321,0,non-coastal,,,,
AT322,0,non-coastal,,,,
AT323,0,non-coastal,,,,
AT331,0,non-coastal,,,,
AT332,0,non-coastal,,,,
AT333,0,non-coastal,,,,
AT334,0,non-coastal,,,,
AT335,0,non-coastal,,,,
AT341,0,non-coastal,,,,
AT342,0,non-coastal,,,,
BE100,0,non-coastal,,,,
BE211,1,coastal (on coast),,,,
BE212,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE213,0,non-coastal,,,,
BE223,0,non-coastal,,,,
BE224,0,non-coastal,,,,
BE225,0,non-coastal,,,,
BE231,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE232,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE233,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE234,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE235,0,non-coastal,,,,
BE236,1,coastal (on coast),,,,
BE241,0,non-coastal,,,,
BE242,0,non-coastal,,,,
BE251,1,coastal (on coast),,,,
BE252,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE253,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE254,0,non-coastal,,,,
BE255,1,coastal (on coast),,,,
BE256,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE257,2,coastal (>= 50% of population living within 50km of the coastline),,,,
BE258,1,coastal (on coast),,,,
BE310,0,non-coastal,,,,
BE323,0,non-coastal,,,,
BE328,0,non-coastal,,,,
BE329,0,non-coastal,,,,
BE32A,0,non-coastal,,,,
BE32B,0,non-coastal,,,,
BE32C,0,non-coastal,,,,
BE32D,0,non-coastal,,,,
BE331,0,non-coastal,,,,
BE332,0,non-coastal,,,,
BE334,0,non-coastal,,,,
BE335,0,non-coastal,,,,
BE336,0,non-coastal,,,,
BE341,0,non-coastal,,,,
BE342,0,non-coastal,,,,
BE343,0,non-coastal,,,,
BE344,0,non-coastal,,,,
BE345,0,non-coastal,,,,
BE351,0,non-coastal,,,,
BE352,0,non-coastal,,,,
BE353,0,non-coastal,,,,
BG311,0,non-coastal,,,,
BG312,0,non-coastal,,,,
BG313,0,non-coastal,,,,
BG314,0,non-coastal,,,,
BG315,0,non-coastal,,,,
BG321,0,non-coastal,,,,
BG322,0,non-coastal,,,,
BG323,0,non-coastal,,,,
BG324,0,non-coastal,,,,
BG325,0,non-coastal,,,,
BG331,1,coastal (on coast),,,,
BG332,1,coastal (on coast),,,,
BG333,0,non-coastal,,,,
BG334,0,non-coastal,,,,
BG341,1,coastal (on coast),,,,
BG342,0,non-coastal,,,,
BG343,0,non-coastal,,,,
BG344,0,non-coastal,,,,
BG411,0,non-coastal,,,,
BG412,0,non-coastal,,,,
BG413,0,non-coastal,,,,
BG414,0,non-coastal,,,,
BG415,0,non-coastal,,,,
BG421,0,non-coastal,,,,
BG422,0,non-coastal,,,,
BG423,0,non-coastal,,,,
BG424,0,non-coastal,,,,
BG425,0,non-coastal,,,,
CH011,0,non-coastal,,,,
CH012,0,non-coastal,,,,
CH013,0,non-coastal,,,,
CH021,0,non-coastal,,,,
CH022,0,non-coastal,,,,
CH023,0,non-coastal,,,,
CH024,0,non-coastal,,,,
CH025,0,non-coastal,,,,
CH031,0,non-coastal,,,,
CH032,0,non-coastal,,,,
CH033,0,non-coastal,,,,
CH040,0,non-coastal,,,,
CH051,0,non-coastal,,,,
CH052,0,non-coastal,,,,
CH053,0,non-coastal,,,,
CH054,0,non-coastal,,,,
CH055,0,non-coastal,,,,
CH056,0,non-coastal,,,,
CH057,0,non-coastal,,,,
CH061,0,non-coastal,,,,
CH062,0,non-coastal,,,,
CH063,0,non-coastal,,,,
CH064,0,non-coastal,,,,
CH065,0,non-coastal,,,,
CH066,0,non-coastal,,,,
CH070,0,non-coastal,,,,
CY000,1,coastal (on coast),,,,
CZ010,0,non-coastal,,,,
CZ020,0,non-coastal,,,,
CZ031,0,non-coastal,,,,
CZ032,0,non-coastal,,,,
CZ041,0,non-coastal,,,,
CZ042,0,non-coastal,,,,
CZ051,0,non-coastal,,,,
CZ052,0,non-coastal,,,,
CZ053,0,non-coastal,,,,
CZ063,0,non-coastal,,,,
CZ064,0,non-coastal,,,,
CZ071,0,non-coastal,,,,
CZ072,0,non-coastal,,,,
CZ080,0,non-coastal,,,,
