freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_KM2,AL01	79.2 	78.5 	77.7 	77.0 	76.6 	76.1 	75.5 	74.8 	77.0 e	76.3 e	74.0 e	: 
A,PER_KM2,AL02	219.6 	222.3 	225.1 	227.0 	229.2 	232.4 	234.8 	236.2 	237.8 e	238.6 e	238.8 e	: 
A,PER_KM2,AL03	73.3 	72.4 	71.6 	70.7 	69.9 	68.9 	67.9 	67.1 	68.8 e	67.9 e	64.9 e	: 
A,PER_KM2,AT11	78.0 	78.2 	78.5 	79.0 	79.4 b	79.7 	77.5 	77.8 	77.8 	78.1 	79.2 	79.7 
A,PER_KM2,AT12	85.5 	85.7 	86.2 	87.0 	87.7 b	88.2 	88.5 	88.9 	88.9 	89.3 	90.4 	91.0 
A,PER_KM2,AT13	4377.6 	4440.5 	4511.5 	4604.5 	4693.4 b	4754.9 	4780.6 	4808.9 	4808.9 	4838.6 	4941.5 	5035.2 
A,PER_KM2,AT21	59.4 	59.4 	59.5 	59.7 	59.9 b	59.9 	59.9 	59.9 	59.9 	60.0 	60.5 	60.8 
A,PER_KM2,AT22	74.4 	74.6 	75.0 	75.5 	76.0 b	76.2 	76.4 	76.6 	76.6 	76.7 	77.5 	78.0 
A,PER_KM2,AT31	120.9 	121.4 	122.2 	123.4 	124.6 b	125.4 	126.1 	126.8 	126.8 	127.4 	129.2 	130.3 
A,PER_KM2,AT32	75.3 	75.6 	76.1 	76.9 	77.7 b	78.1 	78.5 	78.9 	78.9 	79.3 	80.1 	80.8 
A,PER_KM2,AT33	57.0 	57.5 	58.0 	58.7 	59.3 b	59.8 	60.2 	60.4 	60.4 	60.7 	61.4 	61.9 
A,PER_KM2,AT34	146.7 	147.6 	148.8 	150.5 	152.5 b	154.0 	155.2 	156.3 	156.3 	157.3 	159.6 	161.3 
A,PER_KM2,BE10	7194.2 	7260.7 	7319.4 	7408.0 	7454.6 b	7421.6 	7471.5 	7526.7 	7526.7 	7560.8 	7660.0 	7770.2 
A,PER_KM2,BE21	641.3 	644.7 	648.0 	652.0 	655.9 b	657.7 	661.6 	665.8 	665.8 	669.1 	678.8 	686.3 
A,PER_KM2,BE22	357.4 	358.7 	360.0 	361.9 	363.6 b	364.5 	365.8 	367.5 	367.5 	369.0 	373.8 	377.0 
A,PER_KM2,BE23	495.4 	497.8 	500.4 	503.4 	506.7 b	505.8 	508.8 	512.3 	512.3 	515.2 	523.4 	528.3 
A,PER_KM2,BE24	523.1 	526.0 	528.8 	532.2 	536.0 b	536.7 	540.5 	544.7 	544.7 	548.6 	558.7 	564.3 
A,PER_KM2,BE25	375.7 	376.5 	377.3 	378.3 	379.5 b	377.9 	379.2 	380.8 	380.8 	382.1 	386.2 	389.0 
A,PER_KM2,BE31	355.6 	357.9 	360.2 	363.0 	365.5 b	365.2 	367.3 	369.7 	369.7 	371.5 	375.8 	378.0 
A,PER_KM2,BE32	352.0 	353.1 	353.9 	354.8 	355.4 b	353.4 	353.9 	354.8 	354.8 	355.3 	357.3 	358.6 
A,PER_KM2,BE33	283.7 	284.7 	285.5 	286.5 	287.4 b	288.5 	289.0 	289.7 	289.7 	290.2 	291.6 	293.0 
A,PER_KM2,BE34	62.3 	62.6 	62.9 	63.5 	64.0 b	63.8 	64.1 	64.6 	64.6 	65.2 	66.4 	66.8 
A,PER_KM2,BE35	132.4 	132.8 	133.4 	134.2 	134.9 b	135.0 	135.3 	135.9 	135.9 	136.4 	137.8 	138.5 
A,PER_KM2,BG31	44.5 	43.8 	43.1 	42.5 	41.2 b	40.5 	39.8 	39.0 	39.0 	38.4 	35.9 	35.4 
A,PER_KM2,BG32	58.4 	57.8 	56.5 	57.0 	55.3 b	54.6 	53.9 	53.1 	53.1 	52.5 	47.1 	46.6 
A,PER_KM2,BG33	66.3 	66.1 	66.5 	65.5 	64.7 b	64.3 	64.0 	63.7 	63.7 	63.4 	56.7 	56.7 
A,PER_KM2,BG34	55.2 	54.9 	54.8 	54.8 	53.6 b	53.2 	52.9 	52.5 	52.5 	52.2 	48.5 	48.5 
A,PER_KM2,BG41	106.3 	106.2 	105.8 	107.1 	104.7 b	104.4 	104.1 	103.7 	103.7 	103.3 	99.7 	99.8 
A,PER_KM2,BG42	67.1 	66.7 	66.3 	66.0 	64.7 b	64.3 	63.9 	63.7 	63.7 	63.5 	58.9 	58.9 
A,PER_KM2,CH01	182.5 	185.0 	188.1 	191.1 	194.2 b	196.4 	198.2 	199.7 	199.7 	201.3 	205.2 	208.2 
A,PER_KM2,CH02	181.9 	183.9 	185.8 	187.6 	189.8 b	191.2 	192.1 	193.0 	193.0 	193.9 	196.2 	198.1 
A,PER_KM2,CH03	556.8 	563.1 	569.7 	575.9 	587.1 b	593.1 	598.0 	603.0 	603.0 	608.3 	619.0 	627.8 
A,PER_KM2,CH04	843.2 	853.2 	864.5 	876.8 	893.1 b	904.6 	914.5 	925.1 	925.1 	934.9 	950.6 	963.0 
A,PER_KM2,CH05	98.9 	99.8 	100.7 	101.6 	102.7 b	103.4 	104.0 	104.6 	104.6 	105.4 	107.3 	108.8 
A,PER_KM2,CH06	178.5 	180.4 	182.4 	184.3 	186.9 b	188.7 	190.4 	191.9 	191.9 	193.4 	196.9 	199.4 
A,PER_KM2,CH07	123.8 	125.5 	127.1 	128.2 	129.2 b	129.5 	129.4 	128.9 	128.9 	128.5 	129.2 	130.2 
A,PER_KM2,CY00	93.8 	93.5 	92.5 	92.0 	92.4 b	93.3 	94.4 	95.7 	95.7 	96.8 	100.6 b	104.0 b
A,PER_KM2,CZ01	2563.5 	2564.9 	2577.6 	2604.7 	2626.8 b	2654.7 	2683.7 	2714.3 	2714.3 	2741.6 	2714.2 	2826.9 
A,PER_KM2,CZ02	119.0 	120.0 	121.1 	122.3 	124.4 b	125.6 	127.0 	128.5 	128.5 	129.8 	131.8 	135.1 
A,PER_KM2,CZ03	70.8 	70.9 	71.0 	71.1 	70.9 b	71.1 	71.4 	71.8 	71.8 	72.0 	72.1 	73.7 
A,PER_KM2,CZ04	133.3 	133.0 	132.7 	132.4 	132.1 b	131.9 	131.7 	131.7 	131.7 	131.3 	129.1 	130.5 
A,PER_KM2,CZ05	123.1 	123.0 	122.9 	123.0 	123.1 b	123.2 	123.4 	123.7 	123.7 	123.8 	123.6 	125.3 
A,PER_KM2,CZ06	122.4 	122.5 	122.6 	122.8 	123.0 b	123.3 	123.6 	124.0 	124.0 	124.3 	124.8 	126.8 
A,PER_KM2,CZ07	134.5 	134.2 	134.0 	133.8 	133.6 b	133.4 	133.3 	133.2 	133.2 	132.9 	132.0 	133.0 
A,PER_KM2,CZ08	231.3 	230.5 	229.6 	228.9 	228.0 b	227.3 	226.7 	226.2 	226.2 	225.2 	222.8 	223.8 
A,PER_KM2,DE11	372.8 	375.1 	378.0 	382.6 	387.1 b	389.8 	392.0 	393.3 	393.3 	393.7 	393.1 b	393.8 b
A,PER_KM2,DE12	387.2 	389.5 	392.1 	396.4 	403.9 b	406.3 	408.2 	409.3 	409.3 	409.5 	411.4 b	413.7 b
A,PER_KM2,DE13	230.5 	231.7 	233.4 	236.0 	241.0 b	242.6 	244.0 	244.9 	244.9 	245.5 	247.8 b	249.7 b
A,PER_KM2,DE14	198.4 	199.2 	200.5 	202.9 	210.6 b	212.0 	213.2 	214.2 	214.2 	214.9 	216.7 b	218.2 b
A,PER_KM2,DE21	250.4 	253.4 	256.4 	259.8 	268.3 b	270.1 	271.6 	273.4 	273.4 	274.4 	274.5 b	274.4 b
A,PER_KM2,DE22	114.1 	114.8 	115.5 	116.7 	118.5 b	119.4 	120.3 	121.0 	121.0 	121.5 	121.8 b	121.7 b
A,PER_KM2,DE23	110.8 	111.1 	111.5 	112.2 	113.6 b	114.2 	114.8 	115.2 	115.2 	115.3 	115.3 b	115.3 b
A,PER_KM2,DE24	146.6 	146.2 	146.0 	146.2 	147.0 b	147.5 	147.9 	147.8 	147.8 	147.4 	146.4 b	146.0 b
A,PER_KM2,DE25	233.7 	235.1 	236.3 	238.4 	241.8 b	243.3 	244.7 	245.7 	245.7 	246.1 	246.7 b	247.7 b
A,PER_KM2,DE26	152.2 	152.1 	152.2 	152.7 	153.9 b	154.4 	154.8 	155.1 	155.1 	155.1 	154.9 b	154.5 b
A,PER_KM2,DE27	178.9 	180.1 	181.5 	183.5 	187.3 b	188.7 	190.2 	191.5 	191.5 	192.5 	193.3 b	193.4 b
A,PER_KM2,DE30	3757.3 	3811.3 	3867.4 	3922.5 	4193.2 b	4248.4 	4289.8 	4322.9 	4322.9 	4334.3 	4320.5 b	4311.6 b
A,PER_KM2,DE40	83.1 	83.1 	82.7 	83.3 	85.8 b	86.1 	86.4 	86.7 	86.7 	87.1 	87.6 b	87.9 b
A,PER_KM2,DE50	1558.7 	1564.9 	1570.6 	1587.4 	1726.7 b	1738.9 	1744.3 	1744.5 	1744.5 	1740.8 	1754.8 b	1788.3 b
A,PER_KM2,DE60	2285.5 	2304.1 	2323.9 	2351.1 	2533.7 b	2564.1 	2585.7 	2597.5 	2597.5 	2605.4 	2596.2 b	2594.6 b
A,PER_KM2,DE71	507.4 	511.3 	516.2 	522.9 	532.4 b	536.1 	539.3 	542.2 	542.2 	544.1 	542.8 b	542.6 b
A,PER_KM2,DE72	190.4 	190.1 	190.7 	192.2 	193.8 b	194.3 	194.7 	194.9 	194.9 	195.1 	194.2 b	193.3 b
A,PER_KM2,DE73	145.2 	144.9 	144.8 	145.7 	147.1 b	147.4 	147.5 	147.5 	147.5 	147.4 	146.2 b	145.2 b
A,PER_KM2,DE80	69.1 	68.9 	68.6 	68.9 	71.4 b	71.4 	71.3 	71.3 	71.3 	71.3 	70.6 b	69.9 b
A,PER_KM2,DE91	194.5 	194.4 	194.4 	195.8 	197.5 b	197.3 	197.4 	197.3 	197.3 	197.0 	196.7 b	196.8 b
A,PER_KM2,DE92	231.5 	231.8 	232.1 	233.9 	237.6 b	238.2 	238.8 	239.0 	239.0 	238.9 	237.3 b	235.8 b
A,PER_KM2,DE93	107.6 	107.7 	107.7 	108.7 	110.6 b	110.8 	111.0 	111.4 	111.4 	111.7 	112.0 b	111.7 b
A,PER_KM2,DE94	163.0 	163.3 	163.7 	165.4 	167.9 b	168.6 	169.2 	169.8 	169.8 	170.4 	171.6 b	172.2 b
A,PER_KM2,DEA1	959.9 	960.8 	963.6 	971.6 	1002.4 b	1004.8 	1005.9 	1006.7 	1006.7 	1006.5 	1007.8 b	1011.7 b
A,PER_KM2,DEA2	584.9 	587.2 	590.3 	596.3 	607.6 b	609.7 	611.8 	613.4 	613.4 	613.9 	612.5 b	612.9 b
A,PER_KM2,DEA3	372.2 	372.0 	372.6 	375.5 	379.1 b	379.6 	379.9 	380.1 	380.1 	380.2 	381.8 b	383.5 b
A,PER_KM2,DEA4	310.6 	310.3 	310.7 	313.3 	316.4 b	316.1 	316.2 	316.3 	316.3 	316.2 	317.6 b	318.7 b
A,PER_KM2,DEA5	445.1 	443.9 	443.7 	446.5 	450.4 b	449.5 	449.3 	449.1 	449.1 	448.4 	447.4 b	447.9 b
A,PER_KM2,DEB1	183.1 	182.7 	182.8 	183.6 	185.8 b	186.1 	186.4 	186.7 	186.7 	187.0 	188.7 b	190.2 b
A,PER_KM2,DEB2	105.3 	105.4 	105.7 	107.0 	108.3 b	107.9 	108.2 	108.5 	108.5 	108.9 	108.3 b	107.3 b
A,PER_KM2,DEB3	291.0 	291.7 	292.9 	295.1 	300.0 b	301.4 	302.4 	303.2 	303.2 	303.6 	303.7 b	304.1 b
A,PER_KM2,DEC0	387.8 	386.4 	385.0 	386.0 	388.4 b	388.1 	386.9 	385.5 	385.5 	384.2 	388.7 b	394.9 b
A,PER_KM2,DED2	200.7 	200.6 	200.4 	201.1 	206.1 b	205.9 	205.7 	205.6 	205.6 	205.1 	204.1 b	204.5 b
A,PER_KM2,DED4	227.8 	226.0 	224.6 	224.3 	224.3 b	222.7 	221.3 	219.9 	219.9 	218.2 	215.0 b	214.6 b
A,PER_KM2,DED5	245.9 	247.8 	249.6 	253.4 	262.2 b	264.9 	266.9 	268.4 	268.4 	269.7 	272.1 b	273.7 b
A,PER_KM2,DEE0	110.9 	110.1 	109.5 	109.5 	110.7 b	110.1 	109.4 	108.7 	108.7 	108.1 	106.7 b	106.1 b
A,PER_KM2,DEF0	177.5 	177.9 	178.7 	180.0 	186.3 b	187.3 	187.8 	188.2 	188.2 	188.7 	190.2 b	191.2 b
A,PER_KM2,DEG0	134.6 	133.9 	133.3 	133.6 	134.1 b	133.5 	133.0 	132.4 	132.4 	131.7 	130.9 b	131.4 b
A,PER_KM2,DK01	676.8 	681.8 	687.6 	695.1 	738.5 b	745.4 	751.2 	756.0 	756.0 	760.0 	772.0 	780.9 
A,PER_KM2,DK02	113.2 	113.1 	113.3 	114.1 	117.3 b	117.8 	118.1 	118.3 	118.3 	118.4 	119.6 	120.3 
A,PER_KM2,DK03	98.0 	98.1 	98.2 	98.6 	101.3 b	101.7 	101.9 	102.0 	102.0 	102.0 	102.8 	103.2 
A,PER_KM2,DK04	97.7 	98.0 	98.4 	99.0 	101.7 b	102.5 	103.2 	103.7 	103.7 	104.1 	105.8 	106.7 
A,PER_KM2,DK05	73.7 	73.7 	73.8 	74.1 	76.0 b	76.2 	76.4 	76.4 	76.4 	76.5 	76.9 	76.9 
A,PER_KM2,EE00	30.5 	30.3 	30.3 	30.3 	30.3 b	30.3 	30.4 	30.5 	30.5 	30.6 	31.3 	31.8 
A,PER_KM2,EL30	1032.6 	1019.5 	1007.7 	999.0 	992.5 b	989.2 	989.8 	987.5 	987.5 	986.8 	1003.4 	1000.5 
A,PER_KM2,EL41	51.9 	51.6 	51.4 	51.6 	52.4 b	54.3 	56.9 	59.3 	59.3 	60.3 	51.3 	52.1 
A,PER_KM2,EL42	63.1 	63.1 	63.1 	63.3 	63.7 b	64.3 	65.5 	66.1 	66.1 	66.5 	62.5 	62.5 
A,PER_KM2,EL43	75.5 	75.6 	75.7 	75.8 	75.9 b	76.0 	76.4 	76.5 	76.5 	76.7 	75.0 	75.0 
A,PER_KM2,EL51	43.1 	43.0 	42.8 	43.1 	42.9 b	42.8 	42.9 	42.8 	42.8 	42.7 	40.0 	40.0 
A,PER_KM2,EL52	100.1 	99.6 	99.1 	100.0 	99.6 b	99.4 	101.3 	101.2 	101.2 	100.8 	96.6 	96.3 
A,PER_KM2,EL53	29.8 	29.6 	29.3 	29.7 	29.5 b	29.2 	29.1 	28.8 	28.8 	28.5 	27.3 	27.0 
A,PER_KM2,EL54	37.6 	37.3 	37.1 	37.2 	37.0 b	36.9 	36.8 	36.8 	36.8 	36.6 	35.1 	35.2 
A,PER_KM2,EL61	52.9 	52.6 	52.4 	52.2 	52.0 b	51.7 	51.7 	51.4 	51.4 	51.1 	49.1 	48.8 
A,PER_KM2,EL62	90.5 	90.2 	89.9 	89.9 	89.5 b	89.2 	89.7 	89.4 	89.4 	89.1 	89.3 	88.5 
A,PER_KM2,EL63	60.5 	60.0 	59.6 	60.6 	60.2 b	59.8 	59.6 	59.2 	59.2 	58.8 	58.4 	58.1 
A,PER_KM2,EL64	36.0 	36.0 	35.9 	36.1 	36.0 b	36.0 	36.0 	36.1 	36.1 	36.0 	32.8 	32.7 
A,PER_KM2,EL65	37.9 	37.8 	37.7 	37.6 	37.5 b	37.3 	37.2 	37.1 	37.1 	36.9 	34.7 	34.5 
A,PER_KM2,ES11	94.3 	93.9 	93.4 	92.9 	92.4 b	92.1 	92.0 	92.0 	92.0 	91.9 	91.8 	92.0 
A,PER_KM2,ES12	101.3 	100.5 	99.8 	99.0 	98.2 b	97.6 	97.0 	96.6 	96.6 	96.2 	95.2 	95.4 
A,PER_KM2,ES13	112.4 	111.9 	111.4 	110.9 	110.5 b	110.4 	110.4 	110.5 	110.5 	110.7 	111.4 	111.9 
A,PER_KM2,ES21	302.9 	301.7 	299.6 	301.3 	301.2 b	301.7 	302.4 	303.7 	303.7 	304.2 	307.5 	309.0 
A,PER_KM2,ES22	61.8 	61.6 	61.5 	61.6 	61.7 b	62.1 	62.5 	63.1 	63.1 	63.5 	64.6 	65.3 
A,PER_KM2,ES23	63.6 	63.0 	62.4 	62.2 	62.2 b	62.2 	62.3 	62.6 	62.6 	62.8 	63.8 	64.2 
A,PER_KM2,ES24	28.3 	28.1 	28.0 	27.9 	27.8 b	27.7 	27.7 	27.9 	27.9 	28.0 	28.1 	28.4 
A,PER_KM2,ES30	806.4 	803.5 	801.0 	803.9 	809.2 b	817.0 	827.3 	839.7 	839.7 	846.9 	853.9 	870.6 
A,PER_KM2,ES41	27.0 	26.8 	26.5 	26.3 	26.1 b	25.9 	25.7 	25.6 	25.6 	25.5 	25.4 	25.5 
