freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551,NR,AL	: 	: 	: 	: 	: 	: 	270766 e	507025 e	473755 e	730419 e	777283 e	1281648 e	1363825 
A,DOM,CST_A,I551,NR,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551,NR,BE	1583446 	1614310 	: @C	1463142 	1444281 	1405345 	1521232 	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,CST_A,I551,NR,BG	1875435 	1994158 	2009021 	2197612 	2563983 	2444809 	2450694 	2708867 	2559739 	3331515 	3484664 	3547559 	3662617 
A,DOM,CST_A,I551,NR,CH	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551,NR,CY	1070385 	880959 	816655 	663878 	666450 	650405 	718566 	801705 	899958 	1351988 	1080361 	974066 	1084597 
A,DOM,CST_A,I551,NR,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551,NR,DE	27586217 	28465248 	29502925 	30648389 	32284031 	32999506 	33848896 	35243868 	21752211 	22443231 	31990180 	32938008 	35276529 
A,DOM,CST_A,I551,NR,DK	5980477 	6179606 	6601080 	7172838 	7615287 	7902486 	8164370 	8838113 	6336141 	8363663 	10749905 	10671827 	10551769 
A,DOM,CST_A,I551,NR,EA	225479099 e	229450067 	233938591 	242203664 	248770360 	255049442 e	261545172 e	266236853 	152815264 	208799168 	265926382 	271373359 	274490393 
A,DOM,CST_A,I551,NR,EA19	: 	: 	: 	242203664 	248770360 	255049442 e	261545172 e	266236853 	152815264 	208799168 	265926382 	: 	: 
A,DOM,CST_A,I551,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	268396109 	271373359 	274490393 
A,DOM,CST_A,I551,NR,EE	699303 	750054 	811543 	890300 	976945 	1051899 	1106104 	1164668 	1055413 	1270799 	1447743 	1435443 	1448189 
A,DOM,CST_A,I551,NR,EL	10054005 	10499046 	10474250 	10753825 	11355437 	11416342 	13629850 	13681903 	7130087 	9125195 	12473353 	14217385 	14557436 
