NUTS_ID,NUTS_NAME,area_km2
AT11,Burgenland,3965.37981661705
AT33,Tirol,12651.059478808633
AT34,Vorarlberg,2619.0236403088584
BE22,Prov. Limburg (BE),2426.5709583445337
BG34,Югоизточен,19799.979978499934
BE23,Prov. Oost-Vlaanderen,3007.612707084256
BA01,Federacija Bosne i Hercegovine,26079.69137937697
BE24,Prov. Vlaams-Brabant,2119.5452605787805
BG41,Югозападен,20300.065778490003
BE25,Prov. West-Vlaanderen,3170.6666208438814
BE31,Prov. Brabant wallon,1097.3014493424164
BA02,Republika Srpska,24638.557638108934
BE32,Prov. Hainaut,3812.780728577514
BA03,Brčko District BiH,492.6944788389775
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,161.77489479944217
BE21,Prov. Antwerpen,2871.816663467503
BE33,Prov. Liège,3853.595923391001
BG42,Южен централен,22369.691649136937
BE34,Prov. Luxembourg (BE),4461.892921112858
BE35,Prov. Namur,3677.4977118360202
AT12,Niederösterreich,19196.45485772503
AT13,Wien,414.06018310246725
AT21,Kärnten,9543.15797606618
BG31,Северозападен,19061.15133596403
AT22,Steiermark,16413.667048137533
AL01,Veri,10825.075105030079
BG32,Северен централен,14818.292594844603
AT31,Oberösterreich,11984.443388444673
AL02,Qender,4965.650490165599
AT32,Salzburg,7155.910030661977
AL03,Jug,13004.872686601542
BG33,Североизточен,14648.020255674473
EL63,Δυτική Ελλάδα,11316.24551085469
EL41,Βόρειο Αιγαίο,3849.7036652091297
DED4,Chemnitz,6525.355184873166
DED5,Leipzig,3977.838163710433
EL42,Νότιο Αιγαίο,5296.0317173022695
EL43,Κρήτη,8350.561159758308
EL64,Στερεά Ελλάδα,15564.422386930126
DEE0,Sachsen-Anhalt,20554.96714838457
EL51,"Aνατολική Μακεδονία, Θράκη",14190.118903818198
DEF0,Schleswig-Holstein,15617.898058276887
EL65,Πελοπόννησος,15510.278930764347
DEA3,Münster,6918.396446234345
EL52,Κεντρική Μακεδονία,18842.842780516323
DK04,Midtjylland,13175.419223028826
DEA4,Detmold,6524.957961484401
DEG0,Thüringen,16200.976558069397
EL53,Δυτική Μακεδονία,9461.854943880702
DEA5,Arnsberg,8014.714600316382
DK01,Hovedstaden,2577.2695877668266
DK05,Nordjylland,7946.804481541923
EL54,Ήπειρος,9149.352527596606
DEB1,Koblenz,8073.0900772975165
DEB2,Trier,4928.460456506854
DK02,Sjælland,7328.6997026118115
EL61,Θεσσαλία,14051.832115291752
DEB3,Rheinhessen-Pfalz,6850.663118215476
EE00,Eesti,45341.37109110961
DEC0,Saarland,2572.309597842388
EL62,Ιόνια Νησιά,2295.377075581351
