actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
0.0,1303376.375,1148046.385427179,-1303376.375,-1148046.385427179
0.0,1151962.0,1130880.5594036293,-1151962.0,-1130880.5594036293
178588.0,1423903.125,1469894.6634919185,-1245315.125,-1291306.6634919185
2439080.0,1303376.375,1263525.2816739127,1135703.625,1175554.7183260873
2617668.0,1151962.0,1130880.5594036293,1465706.0,1486787.4405963707
2617668.0,1151962.0,1026429.5581936603,1465706.0,1591238.4418063397
0.0,1412471.5,1320315.9196354728,-1412471.5,-1320315.9196354728
0.0,1412471.5,1408550.3031454186,-1412471.5,-1408550.3031454186
188861.0,1649641.875,1621045.3967218946,-1460780.875,-1432184.3967218946
2360625.0,1148475.0,1129718.8386749022,1212150.0,1230906.1613250978
2549486.0,1649641.875,1568759.9861580315,899844.125,980726.0138419685
2549486.0,1148475.0,1094041.1845757295,1401011.0,1455444.8154242705
0.0,1496366.5,1437923.0591823976,-1496366.5,-1437923.0591823976
0.0,1291110.5,1258111.035956008,-1291110.5,-1258111.035956008
191943.0,1704555.75,1486253.3006097123,-1512612.75,-1294310.3006097123
2425522.0,1105367.75,1095393.3581432593,1320154.25,1330128.6418567407
2617465.0,1291110.5,1303669.6388607821,1326354.5,1313795.3611392179
2617465.0,1496366.5,1319034.593342811,1121098.5,1298430.406657189
0.0,1680564.125,1483838.684336184,-1680564.125,-1483838.684336184
0.0,1520133.375,1464254.8518328406,-1520133.375,-1464254.8518328406
189002.0,1510744.75,1456030.0610517485,-1321742.75,-1267028.0610517485
2432948.0,1339269.0,1305810.8151258675,1093679.0,1127137.1848741325
2621950.0,1680564.125,1604798.2597976609,941385.875,1017151.7402023391
2621950.0,1510744.75,1506650.6829803113,1111205.25,1115299.3170196887
0.0,1680564.125,1708868.4288316185,-1680564.125,-1708868.4288316185
0.0,1680564.125,1662268.4859955315,-1680564.125,-1662268.4859955315
187738.0,1160940.0,1266953.4999100505,-973202.0,-1079215.4999100505
2597575.0,1160940.0,1075466.4174812897,1436635.0,1522108.5825187103
2785313.0,1160940.0,1152838.532760402,1624373.0,1632474.467239598
2785313.0,1520133.375,1518529.0023699135,1265179.625,1266783.9976300865
0.0,1596731.25,1507513.1592928206,-1596731.25,-1507513.1592928206
0.0,1667929.25,1655772.2738226315,-1667929.25,-1655772.2738226315
178532.0,1775915.375,1582497.2835473644,-1597383.375,-1403965.2835473644
2602514.0,1667929.25,1655772.2738226315,934584.75,946741.7261773685
2781046.0,1358806.0,1247472.8263460195,1422240.0,1533573.1736539805
2781046.0,1667929.25,1655772.2738226315,1113116.75,1125273.7261773685
0.0,1685179.75,1619036.7198813902,-1685179.75,-1619036.7198813902
0.0,1610134.0,1523701.0516333575,-1610134.0,-1523701.0516333575
187441.0,1773368.25,1588394.3019363456,-1585927.25,-1400953.3019363456
2544945.0,1685179.75,1588023.7119663912,859765.25,956921.2880336088
